Date,Open,High,Low,Close,TVSMOTOR,Volume
07-10-2022,1080,1087.199951,1069.300049,1084.849976,1079.523438,1271663
10-10-2022,1066.400024,1076.650024,1055.400024,1066.650024,1061.412842,1019624
11-10-2022,1070,1070.349976,1048.75,1055.199951,1050.019043,928746
12-10-2022,1050.400024,1093.199951,1047.199951,1087.699951,1082.359375,1218634
13-10-2022,1087.699951,1096.349976,1066.599976,1077.599976,1072.309082,1370021
14-10-2022,1091,1106.900024,1072.650024,1078.349976,1073.055298,1723553
17-10-2022,1071,1080.800049,1060,1075.050049,1069.771606,966318
18-10-2022,1092,1135,1089.800049,1129.050049,1123.50647,3359533
19-10-2022,1135,1176.900024,1131.849976,1171.449951,1165.698242,3440709
20-10-2022,1156.25,1165.050049,1132.800049,1142.25,1136.641602,1988428
21-10-2022,1148,1156.349976,1135,1141.800049,1136.193848,965954
24-10-2022,1154.900024,1154.900024,1142.199951,1146.099976,1140.472656,110280
25-10-2022,1150.099976,1161.449951,1145.550049,1156.949951,1151.269409,952625
27-10-2022,1159.900024,1165,1119,1124.550049,1119.028564,1269462
28-10-2022,1120,1135.550049,1114.25,1127.150024,1121.615845,885662
31-10-2022,1132.800049,1155.800049,1131.050049,1146.050049,1140.422974,1201542
01-11-2022,1150,1156,1128.75,1138,1132.412476,1150562
02-11-2022,1140.449951,1143.699951,1111.599976,1115,1109.525391,1142831
03-11-2022,1111.650024,1144.699951,1110.300049,1134.650024,1129.078979,1493565
04-11-2022,1137,1141.550049,1112,1114.150024,1108.679565,1182660
07-11-2022,1115,1122.849976,1081.099976,1112.75,1107.286499,2256933
09-11-2022,1120.099976,1166,1115.050049,1144.75,1139.129395,3041336
10-11-2022,1144.699951,1144.699951,1098.050049,1105.949951,1100.519775,2235744
11-11-2022,1138,1142.550049,1100.099976,1107.449951,1102.012451,2217061
14-11-2022,1109.949951,1124.699951,1091.199951,1100.75,1095.345337,1178046
15-11-2022,1103,1129.949951,1096.75,1103.199951,1097.783325,1691513
16-11-2022,1105.699951,1136,1104.75,1118.5,1113.008301,2034541
17-11-2022,1118.699951,1130,1100.25,1109.099976,1103.654419,1597488
18-11-2022,1113,1121.150024,1066,1081.849976,1076.538208,2508863
21-11-2022,1070,1079.900024,1045.150024,1048.449951,1043.302124,2657824
22-11-2022,1048,1056.800049,1037.550049,1043.300049,1038.17749,1994682
23-11-2022,1049.400024,1055.400024,1045.650024,1052,1046.834717,1095450
24-11-2022,1057.300049,1058.699951,1043.300049,1052.650024,1047.481567,1035756
25-11-2022,1053.550049,1055.650024,1035,1037.449951,1032.356201,1461816
28-11-2022,1034.599976,1063,1029,1060.5,1055.292969,2723439
29-11-2022,1053.25,1059.599976,1037.550049,1039.849976,1034.744385,1325447
30-11-2022,1045.050049,1066.25,1032.25,1048.150024,1043.003662,27363975
01-12-2022,1058.849976,1062.949951,1044,1050,1044.844604,1621405
