Date,Open,High,Low,Close,IOC,Volume
07-10-2022,67.650002,67.849998,67.050003,67.449997,65.397766,14879891
10-10-2022,67,67.699997,66.849998,67.550003,65.494728,9042660
11-10-2022,67.699997,67.699997,65.800003,65.949997,63.943405,14905741
12-10-2022,66,67.849998,65.949997,67.25,65.203857,14459865
13-10-2022,67.300003,67.75,66.449997,66.849998,64.816025,9890714
14-10-2022,68,68,66.199997,66.300003,64.282761,10119406
17-10-2022,66.5,66.699997,65.550003,66.050003,64.040367,10841451
18-10-2022,66.400002,66.800003,66.099998,66.699997,64.670586,8153819
19-10-2022,66.800003,67.25,66.449997,67,64.961464,7157066
20-10-2022,66.650002,68.199997,66.550003,67.849998,65.785599,19426605
21-10-2022,67.400002,68.050003,67.199997,67.5,65.446251,9542021
24-10-2022,68.25,68.449997,67.949997,68.050003,65.979515,3745316
25-10-2022,67.849998,68.25,67.199997,67.900002,65.834076,12609170
27-10-2022,67.900002,68.5,67.849998,68.300003,66.221909,10404151
28-10-2022,68.5,69.199997,68.050003,68.449997,66.36734,9586976
31-10-2022,68.5,68.800003,68.099998,68.25,66.173431,10549071
01-11-2022,68.400002,68.650002,68.150002,68.5,66.415825,7840600
02-11-2022,68.550003,69.050003,68.349998,68.599998,66.512779,6785578
03-11-2022,68.5,69.150002,68.5,68.699997,66.609734,6466688
04-11-2022,68.650002,69,68.300003,68.5,66.415825,8971834
07-11-2022,68.849998,70.300003,68.699997,70.099998,67.96714,13032194
09-11-2022,70.349998,70.5,69.400002,69.550003,67.433876,10410493
10-11-2022,69.449997,69.849998,69.400002,69.599998,67.482353,5974147
11-11-2022,69.949997,70,69.400002,69.75,67.627792,8792244
14-11-2022,70,70.150002,68.849998,69.449997,67.336914,10222979
15-11-2022,69.800003,69.800003,69.150002,69.599998,67.482353,6477425
16-11-2022,69.650002,69.699997,69.050003,69.300003,67.191483,5638631
17-11-2022,69.449997,69.699997,69,69.099998,66.997566,5264089
18-11-2022,69.349998,69.5,68.75,69.25,67.143005,6231903
21-11-2022,69.349998,70.400002,69.150002,70.050003,67.918663,14820946
22-11-2022,70.050003,70.199997,69.449997,70,67.870186,13456815
23-11-2022,70.050003,70.300003,69.699997,69.900002,67.773224,7949141
24-11-2022,70.150002,72.699997,70.150002,72.050003,69.857811,29444796
25-11-2022,72.199997,73.949997,71.650002,73.349998,71.118256,22422462
